Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,Effective_To_Date,Employment_Status,Gender,Income,Location_Code,Marital_Status
ZK25313,Oregon,2872.05,No,Basic,High School or Below,2/19/2011,Employed,M,57749,Suburban,Single
SV62436,Washington,3041.79,No,Extended,Bachelor,1/21/2011,Disabled,F,13789,Suburban,Divorced
YH23384,Arizona,24127.5,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced
TZ98966,Nevada,2450.19,No,Basic,Bachelor,2/24/2011,Unemployed,F,0,Suburban,Single
HM55802,California,2392.11,No,Basic,Bachelor,2/5/2011,Disabled,F,17870,Suburban,Married
FS42516,Oregon,5802.07,No,Basic,College,1/29/2011,Employed,M,97541,Suburban,Married
US89481,California,3946.37,No,Premium,Bachelor,2/28/2011,Unemployed,F,0,Suburban,Single
HO30839,Washington,5346.92,No,Extended,Master,2/12/2011,Disabled,F,10511,Urban,Married
GE62437,Arizona,12902.56,No,Premium,College,2/2/2011,Employed,F,86584,Suburban,Single
EJ77678,Oregon,3235.36,No,Extended,Master,2/7/2011,Employed,F,75690,Suburban,Married
SV85652,Arizona,2454.58,No,Basic,College,2/28/2011,Employed,M,23158,Suburban,Married
UL64533,Nevada,18975.46,No,Extended,High School or Below,1/22/2011,Employed,M,65999,Urban,Married
PF41800,California,4715.32,No,Basic,Bachelor,1/25/2011,Unemployed,M,0,Urban,Married
AO98601,Washington,5018.89,No,Basic,Bachelor,1/18/2011,Employed,M,54500,Suburban,Married
SK67821,Oregon,4932.92,No,Basic,Bachelor,2/13/2011,Employed,F,37260,Rural,Married
YV55495,Arizona,5744.23,No,Basic,High School or Below,1/15/2011,Employed,F,68987,Urban,Married
KY38074,California,13891.74,No,Premium,Bachelor,1/8/2011,Employed,M,42305,Suburban,Married
DM79012,Oregon,7380.98,No,Extended,Master,2/6/2011,Employed,F,65706,Suburban,Married
CM61827,Oregon,3090.03,No,Extended,Bachelor,1/25/2011,Unemployed,M,0,Suburban,Single
WC35801,Arizona,2521.63,No,Basic,High School or Below,2/7/2011,Employed,M,53243,Rural,Divorced
QG25316,Nevada,2652.06,No,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married
MB98372,Oregon,2771.05,Yes,Basic,College,1/11/2011,Employed,F,50071,Rural,Single
IL19217,California,3939.01,Yes,Extended,Bachelor,1/28/2011,Employed,F,60021,Suburban,Married
SR38658,Arizona,12231.88,No,Basic,High School or Below,2/8/2011,Employed,M,43244,Suburban,Married
DH41343,Washington,2443.67,No,Basic,College,2/23/2011,Employed,M,92834,Suburban,Married
HG65722,Oregon,12819.1,No,Premium,Doctor,1/25/2011,Disabled,F,10105,Rural,Married
BU27331,Arizona,4468.51,No,Basic,Bachelor,1/31/2011,Unemployed,M,0,Suburban,Single
XM45289,Oregon,5514.34,No,Basic,High School or Below,1/2/2011,Employed,F,23218,Suburban,Single
KP34198,California,3343.88,No,Extended,Bachelor,2/7/2011,Unemployed,F,0,Suburban,Married
SH90947,Arizona,2294.48,No,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married
WE95729,Oregon,36707.43,No,Basic,College,1/17/2011,Employed,M,24804,Suburban,Married
PY51963,California,33473.35,Yes,Basic,Bachelor,1/11/2011,Employed,F,33190,Suburban,Divorced
RB69909,Nevada,7983.43,No,Basic,High School or Below,2/21/2011,Employed,F,36014,Rural,Married
XR95069,Washington,4854.75,No,Basic,Bachelor,2/16/2011,Employed,M,29834,Suburban,Single
FR46645,California,4294,No,Premium,Bachelor,1/17/2011,Disabled,M,16701,Suburban,Married
SY17488,Arizona,7164.4,No,Extended,College,2/5/2011,Employed,F,46623,Suburban,Divorced
AP67935,California,7619.52,No,Basic,College,2/13/2011,Employed,M,64749,Urban,Married
FS37417,Arizona,3958,No,Basic,High School or Below,2/23/2011,Unemployed,F,0,Suburban,Married
ML29312,Oregon,4499.49,No,Extended,High School or Below,1/28/2011,Disabled,F,16969,Suburban,Divorced
UB61619,Oregon,4059.57,No,Premium,Master,2/28/2011,Disabled,F,11621,Suburban,Divorced
CD86811,Arizona,4458.11,Yes,Basic,Bachelor,1/2/2011,Retired,M,17622,Suburban,Divorced
RU83859,California,8110.33,No,Premium,Bachelor,1/22/2011,Medical Leave,F,11489,Suburban,Married
FG63582,Oregon,3339.76,No,Extended,Bachelor,1/15/2011,Unemployed,M,0,Suburban,Single
NN71951,California,24261.02,No,Basic,High School or Below,1/27/2011,Employed,F,66525,Rural,Married
WB37082,Arizona,6613.97,No,Basic,Bachelor,1/23/2011,Unemployed,F,0,Suburban,Single
SM52139,Washington,2930.69,No,Basic,College,1/31/2011,Employed,M,33663,Suburban,Married
FL82372,Oregon,8672.19,No,Basic,College,1/26/2011,Employed,F,22547,Suburban,Divorced
DP45816,Arizona,11638.67,No,Extended,High School or Below,1/10/2011,Employed,F,61486,Urban,Married
GW33762,Oregon,6846.15,Yes,Extended,Bachelor,1/27/2011,Unemployed,F,0,Suburban,Divorced
RZ33670,California,11727.78,No,Premium,College,1/9/2011,Disabled,F,29879,Suburban,Married
PY70169,Oregon,22643.83,No,Basic,High School or Below,2/24/2011,Employed,M,93011,Rural,Divorced
MO91628,Oregon,2614.47,No,Basic,Master,2/11/2011,Employed,M,65186,Rural,Married
HW87852,Oregon,2451.75,No,Basic,Master,2/12/2011,Medical Leave,M,26840,Suburban,Married
HB20453,Oregon,6781.27,No,Basic,Bachelor,2/4/2011,Unemployed,M,0,Suburban,Single
BN87372,Oregon,4974.8,Yes,Basic,Bachelor,1/18/2011,Employed,M,75644,Suburban,Divorced
YX23800,Oregon,8591.6,No,Basic,Bachelor,2/11/2011,Employed,M,38984,Suburban,Married
DZ87709,Oregon,5592.16,No,Basic,High School or Below,2/1/2011,Employed,F,71811,Rural,Single
XW13033,Nevada,8009.47,No,Basic,College,2/15/2011,Employed,M,20961,Suburban,Married
LN31673,Washington,11318.09,No,Extended,College,2/6/2011,Employed,M,38923,Rural,Married
OM82309,California,58166.55,No,Basic,Bachelor,2/27/2011,Employed,M,61321,Rural,Single
ZU35962,California,8025.23,No,Extended,College,1/26/2011,Unemployed,F,0,Rural,Single
VH85817,California,5780.18,Yes,Basic,High School or Below,2/26/2011,Employed,M,51066,Suburban,Single
DT85712,California,4118.54,No,Basic,Doctor,1/27/2011,Employed,M,34378,Suburban,Married
YJ88573,Nevada,2523.07,No,Basic,Master,1/16/2011,Employed,M,43072,Suburban,Married
SQ19467,Oregon,6554.22,No,Extended,College,1/27/2011,Disabled,F,25222,Suburban,Single
HF88410,Washington,7703.4,No,Basic,High School or Below,2/28/2011,Employed,M,36765,Suburban,Married
ET79815,California,5926.73,Yes,Extended,College,1/25/2011,Retired,M,23091,Suburban,Married
QC35222,California,2683.47,No,Basic,Bachelor,1/1/2011,Employed,F,48269,Urban,Married
CJ15590,Oregon,2695.18,No,Basic,Bachelor,2/1/2011,Employed,F,32720,Suburban,Divorced
OI48267,California,6047.03,Yes,Extended,College,2/19/2011,Employed,M,20396,Suburban,Married
JY67916,Oregon,13171.01,No,Premium,College,1/27/2011,Medical Leave,M,21513,Suburban,Married
OE75231,Washington,10656.88,Yes,Extended,Bachelor,2/27/2011,Employed,F,72540,Suburban,Married
CZ33664,Oregon,2527.65,No,Basic,Bachelor,1/17/2011,Employed,F,80744,Rural,Married
WK30175,Oregon,2672.1,No,Basic,Bachelor,2/10/2011,Employed,M,52822,Suburban,Married
ON44465,California,5313.29,No,Extended,High School or Below,1/24/2011,Unemployed,F,0,Suburban,Single
TV87155,Oregon,20946.19,No,Basic,Bachelor,2/24/2011,Employed,F,69738,Suburban,Married
KH48895,Arizona,8375.35,No,Basic,Master,2/15/2011,Medical Leave,F,17780,Rural,Married
NZ30757,California,4801.66,No,Basic,Bachelor,2/16/2011,Medical Leave,M,18107,Suburban,Married
RI22468,Arizona,5745.94,No,Basic,Bachelor,1/22/2011,Employed,F,57740,Urban,Married
FZ30935,Oregon,6066.12,No,Extended,College,2/25/2011,Employed,M,32627,Suburban,Married
UG93476,California,8002.31,Yes,Basic,College,1/11/2011,Unemployed,F,0,Suburban,Married
AB96670,California,2393.92,Yes,Basic,College,1/31/2011,Unemployed,M,0,Suburban,Single
XK64261,Oregon,4762.82,No,Basic,Bachelor,1/12/2011,Employed,M,65795,Rural,Single
EV68375,California,4330.39,Yes,Premium,College,2/16/2011,Employed,M,60475,Suburban,Married
UN51653,California,9402.73,No,Extended,High School or Below,2/9/2011,Unemployed,F,0,Suburban,Single
TO96662,Oregon,6966.69,No,Extended,Bachelor,1/19/2011,Employed,F,41837,Rural,Married
MR52087,California,7694.06,No,Basic,Bachelor,1/4/2011,Employed,F,32303,Rural,Married
DE75225,Oregon,8717.56,No,Basic,High School or Below,1/9/2011,Unemployed,M,0,Suburban,Married
EP80820,California,5928.75,No,Basic,Bachelor,1/27/2011,Employed,F,40531,Rural,Married
GU99037,Oregon,2452.98,No,Basic,College,2/14/2011,Employed,M,79898,Urban,Married
WI57118,California,6701.57,No,Extended,College,2/27/2011,Employed,M,56398,Suburban,Married
YQ74870,Washington,7556.24,No,Extended,High School or Below,2/12/2011,Employed,M,35257,Suburban,Divorced
MQ14219,Arizona,8492.7,No,Basic,College,2/26/2011,Employed,M,27804,Suburban,Married
KN20603,Oregon,7713.49,No,Basic,Bachelor,2/20/2011,Employed,M,45506,Suburban,Single
CR48975,Washington,24084.54,No,Basic,High School or Below,2/2/2011,Employed,M,65196,Suburban,Married
JI70886,California,7290.07,No,Basic,High School or Below,2/15/2011,Unemployed,M,0,Suburban,Married
VF72557,Oregon,4772.94,Yes,Extended,High School or Below,2/18/2011,Retired,M,20993,Suburban,Divorced
OX28638,Arizona,6806.49,No,Extended,High School or Below,1/21/2011,Employed,M,37839,Suburban,Married
SK55033,California,2469.78,No,Basic,Bachelor,1/15/2011,Employed,F,92711,Suburban,Single
OO88645,California,3103.92,No,Extended,College,2/5/2011,Employed,F,74665,Urban,Married
YT36855,Washington,2981.88,No,Extended,College,2/24/2011,Unemployed,M,0,Suburban,Married
CW82151,California,8902.74,No,Basic,Bachelor,1/5/2011,Employed,M,46833,Rural,Married
DY22043,Oregon,5499.45,No,Basic,High School or Below,1/28/2011,Employed,F,88768,Suburban,Married
SH36774,California,15023.6,No,Basic,High School or Below,1/12/2011,Employed,M,28262,Suburban,Single
EM43724,Nevada,2509.11,No,Basic,Bachelor,2/16/2011,Employed,F,33555,Rural,Married
FH85960,Oregon,31221.75,No,Premium,College,1/3/2011,Employed,M,42780,Suburban,Divorced
XA55993,Oregon,3133.5,No,Extended,Master,2/7/2011,Employed,F,58850,Rural,Single
GO36627,Arizona,3837.45,No,Extended,College,1/13/2011,Employed,M,21880,Urban,Married
QH48047,Oregon,11790.5,Yes,Basic,College,1/3/2011,Retired,M,25251,Suburban,Divorced
RB50392,Washington,7838.07,No,Basic,Master,2/17/2011,Unemployed,F,0,Rural,Married
UH65059,Arizona,4305.81,No,Basic,High School or Below,1/21/2011,Employed,M,24188,Suburban,Married
FV21968,Nevada,5973.98,No,Basic,Bachelor,1/26/2011,Employed,F,41611,Rural,Married
QA87025,Oregon,5670.44,No,Basic,Bachelor,1/31/2011,Employed,F,28406,Urban,Married
TQ13499,Arizona,4731.75,No,Premium,College,1/2/2011,Employed,M,69833,Suburban,Married
BU44523,Arizona,8026.38,No,Basic,High School or Below,2/7/2011,Unemployed,F,0,Suburban,Single
MS41162,Arizona,4022.96,No,Basic,High School or Below,1/26/2011,Unemployed,M,0,Suburban,Single
PU25891,Oregon,9618.31,No,Basic,High School or Below,1/11/2011,Employed,F,80536,Rural,Married
RB81636,Washington,2274.78,No,Basic,College,1/15/2011,Unemployed,F,0,Suburban,Single
SX26335,Oregon,9552.93,No,Extended,College,2/8/2011,Employed,F,97732,Urban,Married
AZ95587,Arizona,10388.55,No,Extended,Bachelor,1/11/2011,Employed,F,61222,Urban,Single
DS81757,Oregon,2470.12,No,Basic,College,1/9/2011,Unemployed,M,0,Suburban,Single
OJ94107,Arizona,5619.07,No,Premium,Master,2/4/2011,Employed,M,50335,Urban,Married
LP84436,California,9047.12,No,Extended,High School or Below,1/21/2011,Unemployed,F,0,Suburban,Single
YV64727,Washington,6692.14,No,Premium,High School or Below,2/16/2011,Employed,M,63221,Suburban,Married
LM19287,Oregon,3731.5,Yes,Extended,High School or Below,2/24/2011,Unemployed,F,0,Suburban,Married
ZU18643,Nevada,3660.77,No,Extended,Bachelor,1/18/2011,Employed,M,64495,Urban,Married
AZ82578,California,7928.83,No,Basic,College,1/30/2011,Unemployed,F,0,Suburban,Married
XC67861,Arizona,5011.75,No,Basic,Bachelor,1/9/2011,Employed,F,28859,Suburban,Divorced
YC43143,Arizona,7988.26,No,Extended,High School or Below,2/1/2011,Employed,F,77330,Rural,Married
EK59571,Oregon,3885.46,Yes,Premium,College,2/28/2011,Unemployed,M,0,Suburban,Married
GD83998,Washington,2659.34,No,Basic,Bachelor,1/31/2011,Employed,M,24495,Suburban,Single
WA25797,Washington,8564.77,Yes,Basic,High School or Below,2/17/2011,Employed,M,95697,Rural,Married
PD27940,Arizona,4885.16,No,Extended,High School or Below,2/12/2011,Disabled,M,26372,Suburban,Married
BS77946,Arizona,9753.31,No,Extended,Bachelor,2/24/2011,Medical Leave,F,17514,Rural,Married
YM50253,California,2946.15,No,Basic,Bachelor,2/1/2011,Employed,F,89270,Urban,Single
NR15332,California,2581.11,No,Basic,High School or Below,2/6/2011,Employed,M,29757,Suburban,Married
RC62865,Oregon,3517.39,No,Extended,College,1/23/2011,Employed,M,51814,Rural,Single
CC15295,Oregon,9743.35,No,Extended,Bachelor,1/21/2011,Employed,F,24028,Suburban,Married
KA61892,Arizona,3873.65,Yes,Basic,College,1/20/2011,Retired,M,28142,Suburban,Married
OS94884,Arizona,7649.28,No,Basic,Bachelor,1/6/2011,Employed,F,52705,Rural,Married
ND87334,California,2287.6,No,Basic,High School or Below,2/22/2011,Unemployed,M,0,Suburban,Married
ML93326,Washington,4475.42,No,Basic,College,2/27/2011,Employed,F,84903,Urban,Married
YL74911,California,8714.92,Yes,Basic,College,2/21/2011,Unemployed,F,0,Suburban,Divorced
JP69864,Washington,2248.45,Yes,Basic,Bachelor,1/29/2011,Retired,F,24910,Suburban,Single
HL53154,California,7416.2,No,Extended,Bachelor,2/22/2011,Unemployed,M,0,Suburban,Single
RI78966,Oregon,7771.16,No,Basic,Master,2/21/2011,Medical Leave,M,21876,Suburban,Married
IC13702,California,6968.34,No,Basic,Bachelor,1/10/2011,Unemployed,F,0,Suburban,Single
BE10809,California,4250.28,Yes,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Single
HT87217,Oregon,19776.57,No,Extended,High School or Below,1/16/2011,Employed,F,70699,Urban,Divorced
TH95618,California,21343.47,No,Basic,High School or Below,1/6/2011,Unemployed,F,0,Suburban,Married
TS19868,California,2413.14,No,Basic,College,1/27/2011,Medical Leave,M,27501,Suburban,Married
LP45550,Oregon,15363.85,No,Premium,Doctor,1/15/2011,Disabled,F,15897,Urban,Divorced
QR87004,Nevada,8456.96,No,Basic,College,1/9/2011,Employed,F,25141,Rural,Divorced
OE75747,Nevada,2189.64,No,Basic,College,1/28/2011,Unemployed,F,0,Suburban,Married
DX91392,California,5780.18,Yes,Basic,High School or Below,2/26/2011,Employed,M,51066,Suburban,Single
AB72731,California,4639.98,No,Basic,Bachelor,1/4/2011,Employed,F,28358,Rural,Married
RU49126,Washington,4465.34,No,Basic,College,2/1/2011,Employed,F,61846,Rural,Married
IS12901,Arizona,5968.12,No,Basic,Bachelor,1/27/2011,Employed,F,90972,Urban,Married
IX37561,Washington,5097.76,No,Basic,College,2/14/2011,Unemployed,F,0,Suburban,Single
HH90090,California,4076.63,No,Basic,Bachelor,1/23/2011,Employed,F,29549,Suburban,Divorced
IU25463,California,12252.6,No,Premium,Bachelor,2/18/2011,Unemployed,F,0,Suburban,Married
KC11055,Nevada,16936.27,No,Extended,Bachelor,1/24/2011,Employed,F,39411,Suburban,Married
PD33979,Oregon,4892.44,No,Basic,High School or Below,2/18/2011,Employed,M,21709,Suburban,Married
NK71023,Nevada,9942.3,No,Extended,Bachelor,1/19/2011,Employed,M,67890,Suburban,Single
AB13432,California,3735.84,No,Basic,Bachelor,1/4/2011,Unemployed,M,0,Suburban,Single
OZ97704,California,13117.52,No,Basic,High School or Below,2/7/2011,Employed,F,84311,Suburban,Single
UF46533,California,4574.52,No,Basic,College,1/30/2011,Employed,F,99316,Suburban,Single
XP47431,Arizona,5470.06,Yes,Extended,Bachelor,2/17/2011,Employed,F,54507,Suburban,Married
GK73582,California,2978.85,No,Extended,Bachelor,1/13/2011,Employed,F,64586,Urban,Single
RV98763,Oregon,6410.97,No,Extended,College,2/8/2011,Employed,M,61709,Urban,Married
II62831,California,4479.02,No,Basic,Master,1/29/2011,Employed,M,94656,Urban,Married
XK33449,California,2383.73,No,Basic,High School or Below,2/5/2011,Unemployed,F,0,Suburban,Single
TR85083,California,2764.49,No,Basic,Bachelor,1/20/2011,Employed,M,61085,Suburban,Married
EO95328,Oregon,7920.11,No,Basic,Bachelor,1/27/2011,Employed,F,89284,Suburban,Married
EN21086,Arizona,6889.1,No,Basic,High School or Below,1/9/2011,Unemployed,F,0,Suburban,Divorced
YL83902,Washington,3274.19,No,Extended,Bachelor,1/11/2011,Employed,F,31686,Suburban,Married
AZ62651,Oregon,9951.71,No,Premium,High School or Below,2/17/2011,Employed,M,56855,Suburban,Single
ZW25874,Oregon,2521.56,No,Basic,Bachelor,2/16/2011,Employed,M,53703,Rural,Single
EH41854,Washington,23706.11,No,Extended,High School or Below,2/10/2011,Unemployed,F,0,Suburban,Single
MW70227,California,6047.03,Yes,Extended,College,2/19/2011,Employed,M,20396,Suburban,Married
SL22297,California,11140.3,No,Premium,Master,1/21/2011,Disabled,F,27679,Suburban,Single
RV14138,Nevada,4334.06,Yes,Extended,Bachelor,2/27/2011,Retired,F,23904,Suburban,Single
UO62808,Arizona,2799.75,No,Basic,High School or Below,2/4/2011,Employed,F,65351,Suburban,Married
ZX64745,California,7923.14,No,Basic,College,1/18/2011,Unemployed,M,0,Suburban,Single
FL34139,California,3688.11,No,Basic,High School or Below,2/3/2011,Unemployed,M,0,Suburban,Single
TS11219,California,12067.46,No,Basic,College,1/2/2011,Unemployed,M,0,Suburban,Single
XX12304,California,2924.98,No,Basic,College,1/9/2011,Employed,F,64459,Urban,Married
SD64087,California,15014.09,No,Premium,College,1/19/2011,Employed,M,32961,Suburban,Married
OY38576,Oregon,9277.23,No,Basic,High School or Below,1/11/2011,Employed,F,71416,Suburban,Divorced
BG76355,Washington,6274.12,No,Extended,Bachelor,1/31/2011,Employed,F,68964,Rural,Married
IP66913,California,3886.65,No,Extended,High School or Below,1/11/2011,Employed,M,78108,Suburban,Single
LE95702,California,4386.28,Yes,Basic,College,2/11/2011,Retired,M,10621,Suburban,Single
KX54357,Washington,11365.27,No,Extended,College,1/22/2011,Employed,M,84910,Urban,Married
EZ78112,California,5610.96,No,Basic,High School or Below,2/24/2011,Employed,F,77493,Urban,Single
XN16891,Arizona,2912.89,No,Basic,College,2/28/2011,Employed,M,81097,Suburban,Divorced
XK31350,Oregon,6915.73,No,Extended,College,1/25/2011,Employed,F,96610,Suburban,Married
CC30924,Oregon,6262.66,No,Premium,College,2/26/2011,Employed,M,30110,Urban,Married
IT78748,Oregon,6503.4,Yes,Extended,High School or Below,2/19/2011,Disabled,F,22081,Suburban,Married
KY33386,Washington,8007.4,Yes,Basic,High School or Below,1/2/2011,Unemployed,F,0,Suburban,Divorced
CO44221,California,2929.92,No,Basic,College,1/2/2011,Employed,M,98473,Suburban,Married
LK60013,Oregon,5969.55,No,Basic,Bachelor,1/26/2011,Employed,F,97431,Suburban,Married
DE21533,California,5473.16,No,Basic,Bachelor,2/2/2011,Employed,M,93870,Suburban,Divorced
YS94121,Nevada,5645.4,No,Basic,High School or Below,2/27/2011,Employed,M,50366,Suburban,Divorced
UK68427,Washington,6369.26,Yes,Extended,High School or Below,1/20/2011,Employed,M,34498,Suburban,Single
TE49565,Oregon,11833.77,No,Basic,College,1/17/2011,Disabled,F,16552,Suburban,Married
RA88421,Oregon,6121.11,No,Extended,College,1/17/2011,Employed,F,26787,Suburban,Married
KQ51983,Nevada,5159.37,No,Basic,College,2/24/2011,Unemployed,M,0,Suburban,Single
CD88896,Nevada,2514.59,Yes,Basic,High School or Below,2/14/2011,Employed,F,43860,Rural,Single
YV22553,Arizona,8668.61,No,Basic,High School or Below,2/20/2011,Employed,M,21474,Urban,Married
WU14435,California,4960.97,No,Basic,Bachelor,2/19/2011,Disabled,M,18174,Suburban,Married
XV84099,Arizona,5504.14,Yes,Basic,Bachelor,2/8/2011,Unemployed,F,0,Suburban,Married
RI24911,Arizona,7507.46,Yes,Basic,College,2/6/2011,Employed,M,60920,Urban,Single
KO26461,Arizona,32269.85,No,Extended,High School or Below,2/27/2011,Employed,M,41520,Urban,Married
HI14283,Oregon,5657.03,No,Premium,Bachelor,2/1/2011,Unemployed,F,0,Suburban,Married
PT50227,Arizona,5061.76,No,Basic,High School or Below,2/23/2011,Unemployed,M,0,Suburban,Married
BH36570,California,5912.78,No,Basic,Bachelor,1/11/2011,Employed,M,72208,Suburban,Married
TX17484,California,15182.28,No,Basic,Bachelor,2/10/2011,Employed,F,53863,Rural,Married
CT41158,Washington,10747.03,No,Extended,College,2/25/2011,Employed,M,66446,Urban,Divorced
AO87348,Washington,2050.62,No,Basic,College,2/16/2011,Unemployed,M,0,Suburban,Single
DE55857,Washington,2465.44,No,Basic,Bachelor,1/30/2011,Employed,F,64997,Suburban,Single
LF66923,Nevada,5343.12,No,Basic,High School or Below,2/11/2011,Employed,F,64460,Suburban,Married
CN24514,Arizona,8119.83,No,Basic,College,1/14/2011,Employed,F,46618,Rural,Married
UW32074,Oregon,4605.27,No,Basic,College,2/14/2011,Unemployed,F,0,Suburban,Divorced
HP36979,California,6408.79,No,Extended,College,2/3/2011,Employed,M,49988,Suburban,Married
PP40919,California,2376.53,No,Extended,College,1/31/2011,Unemployed,F,0,Suburban,Single
RO73268,California,3211.07,No,Extended,Bachelor,2/15/2011,Disabled,M,16269,Suburban,Divorced
HO61691,Arizona,5094.52,No,Basic,Bachelor,2/27/2011,Employed,F,72006,Suburban,Divorced
BS13062,Arizona,25755.28,No,Extended,High School or Below,1/21/2011,Unemployed,F,0,Suburban,Married
FO35655,Oregon,8672.23,No,Extended,Bachelor,1/14/2011,Unemployed,M,0,Suburban,Single
HR10526,California,8044.73,No,Basic,Master,1/25/2011,Employed,M,44320,Suburban,Married
IA63417,Arizona,4001.52,No,Premium,High School or Below,2/2/2011,Retired,F,19782,Suburban,Divorced
BH35016,Nevada,16706.12,No,Basic,Bachelor,2/9/2011,Employed,F,63933,Suburban,Divorced
PK52952,Arizona,8544.41,No,Basic,Doctor,2/28/2011,Employed,M,28224,Suburban,Single
OD76309,Washington,7805.31,Yes,Basic,College,1/27/2011,Retired,F,21073,Suburban,Divorced
IL28481,Oregon,6112.76,No,Extended,Bachelor,2/19/2011,Employed,M,63243,Urban,Married
GY55092,Nevada,4772.94,Yes,Extended,High School or Below,2/18/2011,Retired,M,20993,Suburban,Divorced
UF33451,Oregon,10979.1,No,Extended,Bachelor,2/14/2011,Employed,F,94827,Urban,Married
CF15558,California,5004.26,No,Basic,Master,1/30/2011,Employed,F,39161,Urban,Married
JM62924,Washington,13223.04,No,Extended,Bachelor,2/9/2011,Employed,M,37534,Suburban,Married
EM66435,Oregon,2623.32,No,Basic,Bachelor,2/6/2011,Employed,F,80210,Rural,Divorced
QX45933,California,17840.2,No,Basic,Bachelor,2/23/2011,Unemployed,M,0,Suburban,Married
JI71369,California,5106.11,No,Basic,College,2/22/2011,Employed,F,30110,Rural,Married
JU93290,Arizona,17930.6,No,Basic,College,1/16/2011,Medical Leave,F,21708,Suburban,Divorced
GU66096,Arizona,5457.34,No,Basic,High School or Below,2/2/2011,Employed,M,94731,Suburban,Married
UC33108,California,6563.64,No,Extended,Bachelor,2/22/2011,Employed,M,32375,Suburban,Married
LW93867,Oregon,4812.53,No,Basic,College,1/3/2011,Medical Leave,M,16531,Rural,Married
OU78470,Arizona,29328.04,No,Extended,Master,2/27/2011,Employed,F,32006,Rural,Single
XW90265,Arizona,5773.52,No,Basic,Bachelor,2/15/2011,Employed,F,81676,Suburban,Married
HS67749,California,6847.12,No,Extended,College,1/11/2011,Employed,M,71038,Rural,Married
VZ51506,Arizona,3595.31,No,Basic,High School or Below,1/21/2011,Unemployed,F,0,Suburban,Single
UI64281,Nevada,22855.61,No,Basic,Master,1/26/2011,Medical Leave,F,20832,Rural,Married
AE98193,Washington,7859.41,No,Basic,High School or Below,1/1/2011,Unemployed,M,0,Suburban,Single
AZ74055,Oregon,4115.58,No,Premium,High School or Below,2/23/2011,Employed,M,52405,Suburban,Married
XS76911,Arizona,5029.64,No,Extended,High School or Below,2/4/2011,Unemployed,F,0,Suburban,Married
AY40674,Washington,4821.42,No,Extended,Bachelor,2/6/2011,Employed,F,26583,Suburban,Married
NA12740,Oregon,5004.31,No,Basic,Master,2/10/2011,Disabled,M,25486,Rural,Married
UA84837,Arizona,8630.05,No,Premium,College,1/2/2011,Employed,M,24065,Suburban,Divorced
DJ51510,Arizona,9322.09,No,Premium,High School or Below,2/10/2011,Employed,F,70435,Rural,Married
VM58985,California,16727.56,No,Extended,College,1/19/2011,Unemployed,M,0,Suburban,Single
OH60605,Oregon,3652.53,No,Extended,High School or Below,2/23/2011,Employed,F,39679,Suburban,Married
UO98052,Nevada,6158.6,No,Extended,College,1/7/2011,Unemployed,M,0,Urban,Single
