Customer,State,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number_of_Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
ML29312,Oregon,124,34,47,2,1,Personal Auto,Personal L3,Offer1,Call Center,704.77,SUV,Medsize
UB61619,Oregon,108,4,98,0,1,Personal Auto,Personal L1,Offer1,Agent,518.4,Four-Door Car,Medsize
CD86811,Arizona,65,1,36,1,3,Personal Auto,Personal L1,Offer1,Agent,312,Four-Door Car,Medsize
RU83859,California,105,4,50,0,6,Personal Auto,Personal L3,Offer1,Call Center,504,Two-Door Car,Small
FG63582,Oregon,94,20,53,0,1,Personal Auto,Personal L3,Offer1,Agent,863.33,Two-Door Car,Small
NN71951,California,100,0,86,0,2,Personal Auto,Personal L3,Offer1,Agent,104.33,SUV,Medsize
WB37082,Arizona,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,676.39,Four-Door Car,Large
SM52139,Washington,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,350.4,Four-Door Car,Medsize
FL82372,Oregon,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,537.6,SUV,Medsize
DP45816,Arizona,97,5,65,0,2,Personal Auto,Personal L3,Offer4,Branch,465.26,Two-Door Car,Small
GW33762,Oregon,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,456,Two-Door Car,Large
RZ33670,California,102,17,0,0,2,Personal Auto,Personal L3,Offer3,Web,500.25,Four-Door Car,Medsize
PY70169,Oregon,113,17,12,0,2,Personal Auto,Personal L3,Offer4,Agent,281.45,SUV,Medsize
MO91628,Oregon,65,29,27,0,1,Personal Auto,Personal L2,Offer2,Web,5.43,Two-Door Car,Large
HW87852,Oregon,64,1,47,2,1,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,Medsize
HB20453,Oregon,104,30,3,1,5,Personal Auto,Personal L3,Offer1,Agent,982.4,Sports Car,Medsize
BN87372,Oregon,65,5,68,3,9,Personal Auto,Personal L3,Offer2,Branch,467.8,Two-Door Car,Medsize
YX23800,Oregon,73,27,38,0,2,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Small
DZ87709,Oregon,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,29.03,Four-Door Car,Medsize
XW13033,Nevada,67,20,33,0,2,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize
LN31673,Washington,99,6,83,2,2,Personal Auto,Personal L3,Offer1,Agent,115.73,Four-Door Car,Medsize
OM82309,California,186,0,30,1,2,Personal Auto,Personal L3,Offer2,Branch,427.63,Luxury Car,Small
ZU35962,California,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,25.81,Two-Door Car,Large
VH85817,California,74,23,0,0,8,Personal Auto,Personal L3,Offer2,Call Center,787.99,Four-Door Car,Medsize
DT85712,California,102,12,54,0,1,Personal Auto,Personal L1,Offer3,Branch,489.6,SUV,Medsize
YJ88573,Nevada,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,302.4,Four-Door Car,Large
SQ19467,Oregon,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,475.62,Four-Door Car,Small
HF88410,Washington,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,320.85,Four-Door Car,Medsize
ET79815,California,96,28,90,5,5,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Medsize
QC35222,California,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.15,Four-Door Car,Medsize
CJ15590,Oregon,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,321.6,Four-Door Car,Medsize
OI48267,California,76,15,60,1,4,Personal Auto,Personal L3,Offer1,Branch,364.8,Four-Door Car,Medsize
JY67916,Oregon,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,679.83,Two-Door Car,Small
OE75231,Washington,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,631.74,Two-Door Car,Medsize
CZ33664,Oregon,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,11.88,Four-Door Car,Medsize
WK30175,Oregon,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,350.53,Two-Door Car,Small
ON44465,California,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,863.39,Four-Door Car,Medsize
TV87155,Oregon,74,2,26,1,2,Personal Auto,Personal L3,Offer1,Branch,492.13,Four-Door Car,Large
KH48895,Arizona,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,132.59,SUV,Medsize
NZ30757,California,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,297.6,Four-Door Car,Medsize
RI22468,Arizona,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.91,Four-Door Car,Medsize
FZ30935,Oregon,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.04,Two-Door Car,Small
UG93476,California,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,SUV,Medsize
AB96670,California,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,425.27,Four-Door Car,Medsize
XK64261,Oregon,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49.01,Two-Door Car,Medsize
EV68375,California,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,513.6,Four-Door Car,Medsize
UN51653,California,130,28,88,0,4,Personal Auto,Personal L3,Offer1,Web,936,SUV,Medsize
TO96662,Oregon,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,142.06,Four-Door Car,Small
MR52087,California,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,45.15,Four-Door Car,Medsize
DE75225,Oregon,117,5,89,1,3,Personal Auto,Personal L1,Offer1,Agent,561.6,SUV,Medsize
EP80820,California,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,30.57,Two-Door Car,Medsize
GU99037,Oregon,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.61,Four-Door Car,Medsize
WI57118,California,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,408,Four-Door Car,Small
YQ74870,Washington,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,470.4,Four-Door Car,Small
MQ14219,Arizona,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,784.8,SUV,Medsize
KN20603,Oregon,66,16,32,2,2,Personal Auto,Personal L3,Offer1,Agent,316.8,Four-Door Car,Medsize
CR48975,Washington,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,396.08,Four-Door Car,Medsize
JI70886,California,102,11,70,1,3,Corporate Auto,Corporate L2,Offer1,Agent,489.6,SUV,Medsize
VF72557,Oregon,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,638.4,SUV,Medsize
OX28638,Arizona,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,465.63,Two-Door Car,Medsize
SK55033,California,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.4,Two-Door Car,Medsize
OO88645,California,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,236.9,Four-Door Car,Medsize
YT36855,Washington,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,582.68,Two-Door Car,Medsize
CW82151,California,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,64.11,Sports Car,Medsize
DY22043,Oregon,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,326.4,Two-Door Car,Small
SH36774,California,192,9,77,0,3,Personal Auto,Personal L3,Offer3,Web,921.6,Luxury SUV,Medsize
EM43724,Nevada,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,101.9,Four-Door Car,Medsize
FH85960,Oregon,113,10,27,1,2,Personal Auto,Personal L2,Offer1,Call Center,542.4,Four-Door Car,Medsize
XA55993,Oregon,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,143.75,Four-Door Car,Medsize
GO36627,Arizona,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,424.08,Four-Door Car,Medsize
QH48047,Oregon,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,316.8,Four-Door Car,Medsize
RB50392,Washington,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,2.7,Four-Door Car,Medsize
UH65059,Arizona,109,14,82,0,1,Personal Auto,Personal L3,Offer1,Agent,523.2,Sports Car,Medsize
FV21968,Nevada,74,14,8,0,8,Special Auto,Special L2,Offer1,Branch,113.8,Four-Door Car,Medsize
QA87025,Oregon,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,192.88,Four-Door Car,Medsize
TQ13499,Arizona,118,32,99,0,1,Personal Auto,Personal L3,Offer1,Agent,828.66,Four-Door Car,Small
BU44523,Arizona,74,15,91,0,2,Corporate Auto,Corporate L2,Offer1,Web,532.8,Four-Door Car,Small
MS41162,Arizona,117,6,1,0,1,Personal Auto,Personal L3,Offer1,Agent,975.11,SUV,Medsize
PU25891,Oregon,119,5,83,0,3,Special Auto,Special L2,Offer1,Branch,53.8,Sports Car,Medsize
RB81636,Washington,63,2,5,0,1,Personal Auto,Personal L2,Offer2,Agent,606.64,Four-Door Car,Small
SX26335,Oregon,79,0,70,0,2,Personal Auto,Personal L3,Offer4,Branch,289.91,Four-Door Car,Medsize
AZ95587,Arizona,89,20,55,0,2,Special Auto,Special L3,Offer3,Branch,392.6,Four-Door Car,Small
DS81757,Oregon,74,7,20,0,1,Personal Auto,Personal L1,Offer4,Web,721.24,Two-Door Car,Large
OJ94107,Arizona,140,9,54,0,1,Personal Auto,Personal L2,Offer1,Call Center,456.52,SUV,Medsize
LP84436,California,127,30,11,0,6,Personal Auto,Personal L2,Offer3,Branch,1088,Sports Car,Medsize
YV64727,Washington,168,28,49,0,1,Corporate Auto,Corporate L3,Offer3,Agent,806.4,SUV,Medsize
LM19287,Oregon,96,31,34,0,1,Personal Auto,Personal L1,Offer1,Agent,460.8,Four-Door Car,Large
ZU18643,Nevada,92,34,30,0,1,Corporate Auto,Corporate L2,Offer4,Web,251.99,Four-Door Car,Medsize
AZ82578,California,72,7,75,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,345.6,Four-Door Car,Medsize
XC67861,Arizona,67,24,51,3,4,Corporate Auto,Corporate L2,Offer1,Call Center,321.6,Two-Door Car,Medsize
YC43143,Arizona,99,0,21,0,3,Personal Auto,Personal L3,Offer2,Web,99.26,Four-Door Car,Medsize
EK59571,Oregon,105,3,92,0,1,Corporate Auto,Corporate L2,Offer1,Branch,504,Four-Door Car,Large
GD83998,Washington,70,29,65,0,1,Personal Auto,Personal L2,Offer4,Branch,336,Four-Door Car,Small
WA25797,Washington,107,29,29,0,9,Personal Auto,Personal L3,Offer2,Agent,178.01,Sports Car,Medsize
PD27940,Arizona,126,11,7,0,1,Personal Auto,Personal L3,Offer4,Agent,604.8,SUV,Medsize
BS77946,Arizona,127,2,5,0,3,Personal Auto,Personal L1,Offer1,Branch,8.31,SUV,Medsize
YM50253,California,74,17,90,0,1,Personal Auto,Personal L3,Offer2,Branch,316.6,Four-Door Car,Medsize
NR15332,California,65,13,55,0,1,Personal Auto,Personal L2,Offer2,Web,312,Four-Door Car,Small
RC62865,Oregon,92,28,89,0,1,Personal Auto,Personal L2,Offer3,Agent,56.3,Four-Door Car,Medsize
CC15295,Oregon,82,14,27,0,2,Personal Auto,Personal L2,Offer2,Agent,393.6,Four-Door Car,Small
KA61892,Arizona,105,18,50,0,1,Personal Auto,Personal L3,Offer2,Agent,701.71,Sports Car,Medsize
OS94884,Arizona,64,14,8,1,2,Personal Auto,Personal L2,Offer1,Web,128.71,Two-Door Car,Large
ND87334,California,63,1,5,0,1,Corporate Auto,Corporate L3,Offer2,Agent,679.37,Two-Door Car,Medsize
ML93326,Washington,111,7,63,0,1,Personal Auto,Personal L1,Offer1,Agent,497.13,SUV,Medsize
YL74911,California,118,14,64,0,4,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,Medsize
JP69864,Washington,63,7,63,1,1,Personal Auto,Personal L1,Offer1,Branch,347.86,Four-Door Car,Medsize
HL53154,California,77,15,12,2,2,Personal Auto,Personal L3,Offer1,Agent,554.4,Four-Door Car,Medsize
RI78966,Oregon,68,12,28,0,2,Personal Auto,Personal L3,Offer1,Agent,465.41,Four-Door Car,Small
IC13702,California,69,33,61,1,2,Personal Auto,Personal L3,Offer1,Agent,496.8,Four-Door Car,Small
BE10809,California,61,17,1,1,7,Personal Auto,Personal L1,Offer1,Agent,292.8,Four-Door Car,Small
HT87217,Oregon,82,1,57,0,2,Personal Auto,Personal L2,Offer3,Agent,256.81,Four-Door Car,Medsize
TH95618,California,74,11,85,1,2,Personal Auto,Personal L2,Offer1,Agent,355.2,Four-Door Car,Medsize
TS19868,California,63,20,0,0,1,Personal Auto,Personal L1,Offer4,Branch,542.32,Four-Door Car,Medsize
LP45550,Oregon,101,30,99,0,2,Personal Auto,Personal L3,Offer2,Agent,303.15,Four-Door Car,Medsize
QR87004,Nevada,73,12,4,1,2,Personal Auto,Personal L3,Offer3,Agent,25.44,Four-Door Car,Medsize
OE75747,Nevada,61,5,46,3,1,Personal Auto,Personal L2,Offer3,Agent,292.8,Four-Door Car,Small
DX91392,California,74,23,0,0,8,Personal Auto,Personal L2,Offer2,Call Center,787.99,Four-Door Car,Medsize
AB72731,California,117,24,37,0,1,Personal Auto,Personal L2,Offer2,Call Center,84.02,Sports Car,Medsize
RU49126,Washington,112,1,48,0,1,Personal Auto,Personal L2,Offer2,Agent,215.82,SUV,Medsize
IS12901,Arizona,74,3,47,0,8,Personal Auto,Personal L3,Offer2,Call Center,232.93,Two-Door Car,Medsize
IX37561,Washington,74,3,95,0,7,Personal Auto,Personal L3,Offer3,Web,532.8,Two-Door Car,Medsize
HH90090,California,104,17,51,0,1,Personal Auto,Personal L2,Offer2,Call Center,710.43,Sports Car,Small
IU25463,California,115,12,17,1,2,Personal Auto,Personal L2,Offer1,Agent,552,Four-Door Car,Medsize
KC11055,Nevada,217,4,29,2,4,Personal Auto,Personal L3,Offer3,Branch,1122.66,Luxury Car,Medsize
PD33979,Oregon,62,28,17,0,3,Personal Auto,Personal L2,Offer2,Branch,408.37,Four-Door Car,Large
NK71023,Nevada,85,23,57,0,2,Personal Auto,Personal L2,Offer4,Agent,408,Four-Door Car,Small
AB13432,California,110,3,16,0,1,Personal Auto,Personal L3,Offer1,Agent,792,SUV,Medsize
OZ97704,California,111,11,98,4,2,Personal Auto,Personal L3,Offer3,Call Center,532.8,SUV,Small
UF46533,California,114,26,53,0,1,Corporate Auto,Corporate L3,Offer2,Branch,754.36,SUV,Medsize
XP47431,Arizona,138,20,11,0,1,Personal Auto,Personal L1,Offer2,Agent,702.99,SUV,Medsize
GK73582,California,76,3,17,0,1,Personal Auto,Personal L1,Offer3,Branch,206.84,Four-Door Car,Medsize
RV98763,Oregon,82,5,41,2,7,Personal Auto,Personal L3,Offer3,Branch,275.4,Four-Door Car,Medsize
II62831,California,111,12,79,1,1,Special Auto,Special L2,Offer4,Web,459.74,SUV,Medsize
XK33449,California,69,5,40,0,1,Special Auto,Special L3,Offer4,Branch,496.8,Two-Door Car,Small
TR85083,California,70,27,34,1,1,Personal Auto,Personal L3,Offer2,Branch,336,Two-Door Car,Medsize
EO95328,Oregon,67,7,31,3,2,Personal Auto,Personal L2,Offer4,Agent,321.6,Two-Door Car,Small
EN21086,Arizona,63,6,12,0,2,Personal Auto,Personal L2,Offer1,Branch,302.4,Four-Door Car,Small
YL83902,Washington,81,11,33,0,1,Personal Auto,Personal L3,Offer1,Agent,430.99,Four-Door Car,Small
AZ62651,Oregon,255,12,1,0,1,Corporate Auto,Corporate L3,Offer4,Web,1836,Luxury SUV,Medsize
ZW25874,Oregon,67,3,45,2,1,Special Auto,Special L3,Offer1,Branch,67.63,Four-Door Car,Medsize
EH41854,Washington,96,12,35,1,2,Personal Auto,Personal L1,Offer3,Branch,844.48,Two-Door Car,Medsize
MW70227,California,76,15,60,1,4,Personal Auto,Personal L1,Offer1,Branch,364.8,Four-Door Car,Medsize
SL22297,California,150,30,28,0,3,Personal Auto,Personal L1,Offer1,Call Center,722.49,SUV,Medsize
RV14138,Nevada,123,1,67,3,1,Personal Auto,Personal L3,Offer1,Agent,590.4,SUV,Medsize
UO62808,Arizona,69,4,54,0,1,Corporate Auto,Corporate L1,Offer2,Call Center,481.03,Four-Door Car,Medsize
ZX64745,California,113,20,1,0,7,Personal Auto,Personal L2,Offer1,Agent,1124.43,SUV,Medsize
FL34139,California,63,0,54,3,7,Personal Auto,Personal L2,Offer1,Call Center,669.68,Four-Door Car,Medsize
TS11219,California,116,14,35,0,2,Personal Auto,Personal L2,Offer1,Agent,1284.09,SUV,Medsize
XX12304,California,72,16,64,0,1,Personal Auto,Personal L1,Offer2,Branch,240.26,Four-Door Car,Medsize
SD64087,California,190,13,53,0,3,Corporate Auto,Corporate L2,Offer1,Branch,912,SUV,Small
OY38576,Oregon,116,10,0,0,3,Corporate Auto,Corporate L3,Offer2,Agent,556.8,SUV,Medsize
BG76355,Washington,78,15,6,0,3,Personal Auto,Personal L3,Offer3,Web,115.09,Four-Door Car,Medsize
IP66913,California,98,12,34,0,1,Personal Auto,Personal L3,Offer2,Agent,470.4,Two-Door Car,Small
LE95702,California,67,28,22,0,5,Special Auto,Special L3,Offer1,Agent,321.6,Four-Door Car,Medsize
KX54357,Washington,95,4,69,0,2,Corporate Auto,Corporate L3,Offer2,Web,383.17,Two-Door Car,Small
EZ78112,California,70,2,35,0,3,Special Auto,Special L3,Offer1,Agent,307.96,Four-Door Car,Medsize
XN16891,Arizona,74,7,67,0,1,Personal Auto,Personal L1,Offer4,Agent,355.2,Four-Door Car,Small
XK31350,Oregon,85,6,23,0,3,Corporate Auto,Corporate L1,Offer4,Call Center,520.36,Four-Door Car,Large
CC30924,Oregon,159,20,71,0,1,Corporate Auto,Corporate L3,Offer4,Agent,466.44,Sports Car,Small
IT78748,Oregon,84,1,9,0,6,Special Auto,Special L3,Offer1,Agent,451.67,Two-Door Car,Small
KY33386,Washington,112,12,93,0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize
CO44221,California,72,19,69,0,1,Personal Auto,Personal L1,Offer2,Branch,345.6,Four-Door Car,Medsize
LK60013,Oregon,74,1,72,0,3,Personal Auto,Personal L2,Offer3,Branch,355.2,Four-Door Car,Medsize
DE21533,California,69,1,96,0,8,Personal Auto,Personal L2,Offer1,Call Center,331.2,Four-Door Car,Medsize
YS94121,Nevada,72,9,5,0,9,Personal Auto,Personal L1,Offer1,Call Center,428.73,Four-Door Car,Small
UK68427,Washington,83,30,72,0,7,Personal Auto,Personal L3,Offer2,Branch,398.4,Two-Door Car,Small
TE49565,Oregon,103,23,53,0,2,Personal Auto,Personal L3,Offer2,Call Center,494.4,SUV,Small
RA88421,Oregon,77,7,50,0,5,Personal Auto,Personal L3,Offer3,Branch,369.6,Four-Door Car,Medsize
KQ51983,Nevada,74,2,42,0,9,Personal Auto,Personal L1,Offer1,Branch,831.75,Two-Door Car,Medsize
CD88896,Nevada,65,15,58,0,1,Corporate Auto,Corporate L3,Offer2,Agent,156.12,Four-Door Car,Medsize
YV22553,Arizona,114,13,72,2,9,Corporate Auto,Corporate L3,Offer1,Agent,373.43,SUV,Small
WU14435,California,66,8,16,0,9,Corporate Auto,Corporate L1,Offer1,Agent,395.93,Four-Door Car,Small
XV84099,Arizona,73,18,45,0,5,Corporate Auto,Corporate L1,Offer1,Call Center,350.4,Four-Door Car,Medsize
RI24911,Arizona,64,10,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231.2,Two-Door Car,Medsize
KO26461,Arizona,90,18,70,0,2,Personal Auto,Personal L2,Offer1,Agent,289.9,Four-Door Car,Medsize
HI14283,Oregon,152,12,89,0,1,Personal Auto,Personal L3,Offer1,Web,729.6,SUV,Small
PT50227,Arizona,68,19,16,0,8,Personal Auto,Personal L3,Offer3,Call Center,326.4,Two-Door Car,Medsize
BH36570,California,73,3,84,0,8,Personal Auto,Personal L3,Offer1,Branch,350.4,Two-Door Car,Small
TX17484,California,63,12,30,0,2,Personal Auto,Personal L2,Offer1,Web,105.77,Four-Door Car,Large
CT41158,Washington,136,8,77,0,3,Corporate Auto,Corporate L1,Offer2,Branch,639.46,SUV,Large
AO87348,Washington,61,18,26,0,1,Personal Auto,Personal L3,Offer2,Agent,292.8,Four-Door Car,Small
DE55857,Washington,63,7,99,1,1,Personal Auto,Personal L3,Offer2,Agent,383.44,Four-Door Car,Small
LF66923,Nevada,66,18,42,0,3,Corporate Auto,Corporate L3,Offer2,Agent,316.8,Two-Door Car,Small
